stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
TX,Anderson County,48001,16977,44200,Texas,38.40950226,27223,-17.09049774
TX,Andrews County,48003,4943,10410,Texas,47.48318924,5467,-8.016810759
TX,Angelina County,48005,29911,60325,Texas,49.58309159,30414,-5.916908413
TX,Aransas County,48007,10512,19580,Texas,53.68743616,9068,-1.812563841
TX,Archer County,48009,4283,6605,Texas,64.84481453,2322,9.344814534
TX,Armstrong County,48011,1021,1460,Texas,69.93150685,439,14.43150685
TX,Atascosa County,48013,13673,32690,Texas,41.82624656,19017,-13.67375344
TX,Austin County,48015,12274,20175,Texas,60.83767038,7901,5.337670384
TX,Bailey County,48017,1793,3875,Texas,46.27096774,2082,-9.229032258
TX,Bandera County,48019,10218,16995,Texas,60.12356575,6777,4.623565755
TX,Bastrop County,48021,28454,51745,Texas,54.98888782,23291,-0.5111121848
TX,Baylor County,48023,1499,2840,Texas,52.78169014,1341,-2.718309859
TX,Bee County,48025,8485,24785,Texas,34.23441598,16300,-21.26558402
TX,Bell County,48027,94994,226310,Texas,41.97516681,131316,-13.52483319
TX,Bexar County,48029,589645,1235910,Texas,47.70938013,646265,-7.790619867
TX,Blanco County,48031,5685,8370,Texas,67.92114695,2685,12.42114695
TX,Borden County,48033,365,485,Texas,75.25773196,120,19.75773196
TX,Bosque County,48035,7838,13265,Texas,59.0878251,5427,3.587825104
TX,Bowie County,48037,34602,68995,Texas,50.15146025,34393,-5.348539749
TX,Brazoria County,48039,121181,226480,Texas,53.50626987,105299,-1.993730131
TX,Brazos County,48041,67211,147180,Texas,45.66585134,79969,-9.834148662
TX,Brewster County,48043,4252,7045,Texas,60.3548616,2793,4.854861604
TX,Briscoe County,48045,736,1145,Texas,64.27947598,409,8.779475983
TX,Brooks County,48047,2596,4985,Texas,52.07622869,2389,-3.423771314
TX,Brown County,48049,14026,27820,Texas,50.41696621,13794,-5.083033789
TX,Burleson County,48051,6960,12590,Texas,55.28196982,5630,-0.2180301827
TX,Burnet County,48053,19204,33675,Texas,57.02746845,14471,1.527468448
TX,Caldwell County,48055,12092,27810,Texas,43.48076232,15718,-12.01923768
TX,Calhoun County,48057,6965,15040,Texas,46.30984043,8075,-9.190159574
TX,Callahan County,48059,5579,10230,Texas,54.53567937,4651,-0.9643206256
TX,Cameron County,48061,92079,222775,Texas,41.33273482,130696,-14.16726518
TX,Camp County,48063,4542,8600,Texas,52.81395349,4058,-2.686046512
TX,Carson County,48065,2964,4395,Texas,67.44027304,1431,11.94027304
TX,Cass County,48067,12344,23270,Texas,53.04684143,10926,-2.453158573
TX,Castro County,48069,1997,4450,Texas,44.87640449,2453,-10.62359551
TX,Chambers County,48071,16786,24500,Texas,68.51428571,7714,13.01428571
TX,Cherokee County,48073,16790,35025,Texas,47.93718772,18235,-7.562812277
TX,Childress County,48075,2084,5455,Texas,38.20348304,3371,-17.29651696
TX,Clay County,48077,5018,7950,Texas,63.11949686,2932,7.619496855
TX,Cochran County,48079,901,1890,Texas,47.67195767,989,-7.828042328
TX,Coke County,48081,1423,2530,Texas,56.24505929,1107,0.7450592885
TX,Coleman County,48083,3643,6525,Texas,55.83141762,2882,0.3314176245
TX,Collin County,48085,361419,566535,Texas,63.7946464,205116,8.294646403
TX,Collingsworth County,48087,1156,1900,Texas,60.84210526,744,5.342105263
TX,Colorado County,48089,8513,14990,Texas,56.79119413,6477,1.291194129
TX,Comal County,48091,62178,91435,Texas,68.00240608,29257,12.50240608
TX,Comanche County,48093,5237,9875,Texas,53.03291139,4638,-2.467088608
TX,Concho County,48095,1068,2255,Texas,47.36141907,1187,-8.138580931
TX,Cooke County,48097,15955,27075,Texas,58.9289012,11120,3.4289012
TX,Coryell County,48099,18253,54680,Texas,33.38149232,36427,-22.11850768
TX,Cottle County,48101,612,1140,Texas,53.68421053,528,-1.815789474
TX,Crane County,48103,1384,2830,Texas,48.90459364,1446,-6.59540636
TX,Crockett County,48105,1395,2655,Texas,52.54237288,1260,-2.957627119
TX,Crosby County,48107,1728,4200,Texas,41.14285714,2472,-14.35714286
